topcreditor,topdebtor,creditor,debtor,amount,risk
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,AnnotationProcessorFactoryLoader,AptPlugin,7
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,AnnotationProcessorFactoryLoader,FactoryPluginManager,2
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,AnnotationProcessorFactoryLoader,JarClassLoader,5
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,AnnotationProcessorFactoryLoader,JarFactoryContainer,3
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,AnnotationProcessorFactoryLoader,LoadFailureHandler,7
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,AptCompilationParticipant,AnnotationProcessorFactoryLoader,6
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,AptCompilationParticipant,APTDispatchRunnable,2
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,AptCompilationParticipant,AptPlugin,6
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,AptCompilationParticipant,AptProject,2
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,APTDispatchRunnable,AptCompilationParticipant,4
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,APTDispatchRunnable,APTDispatchRunnable,33
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,APTDispatchRunnable,AptPlugin,5
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,APTDispatchRunnable,AptProject,13
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,AptPlugin,AptPlugin,7
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,AptProject,AptPlugin,2
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,ClassServiceFactory,AptPlugin,2
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,FactoryPathDeltaVisitor,AptPlugin,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,FactoryPathDeltaVisitor,FactoryPathDeltaVisitor,3
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,FactoryPluginManager,AptPlugin,5
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,FactoryPluginManager,FactoryPluginManager,14
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,FactoryPluginManager,PluginFactoryContainer,3
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,JarClassLoader,AptPlugin,4
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,JarClassLoader,JarClassLoader,7
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,JarClassLoader,JarCLInputStream,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,JarCLInputStream,JarClassLoader,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,JarFactoryContainer,JarFactoryContainer,5
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,LoadFailureHandler,AptPlugin,2
